Airline,Departure Airport,Scheduled Departure,Actual Departure,Arrival Airport,Scheduled Arrival,Actual Arrival
Aer Lingus,Dublin International,2024-04-12T06:40:00+00:00,2024-04-12T06:52:00+00:00,Bristol,2024-04-12T07:55:00+00:00,2024-04-12T07:46:00+00:00
British Airways,Dublin International,2024-04-12T06:40:00+00:00,2024-04-12T06:52:00+00:00,Bristol,2024-04-12T07:55:00+00:00,2024-04-12T07:46:00+00:00
Ryanair,Henri Coanda International,2024-04-12T11:45:00+00:00,2024-04-12T12:02:00+00:00,Bristol,2024-04-12T13:20:00+00:00,2024-04-12T13:20:00+00:00
easyJet,Geneve-cointrin,2024-04-12T10:40:00+00:00,2024-04-12T10:55:00+00:00,Bristol,2024-04-12T11:25:00+00:00,2024-04-12T11:23:00+00:00
Loganair,Dyce,2024-04-12T10:30:00+00:00,2024-04-12T10:45:00+00:00,Bristol,2024-04-12T12:00:00+00:00,2024-04-12T11:54:00+00:00
Sierra Pacific Airlines,Dyce,2024-04-12T10:30:00+00:00,2024-04-12T10:45:00+00:00,Bristol,2024-04-12T12:00:00+00:00,2024-04-12T11:54:00+00:00
British Airways,Dyce,2024-04-12T10:30:00+00:00,2024-04-12T10:45:00+00:00,Bristol,2024-04-12T12:00:00+00:00,2024-04-12T11:54:00+00:00
Ryanair,Beziers Vias,2024-04-12T09:55:00+00:00,2024-04-12T10:23:00+00:00,Bristol,2024-04-12T10:55:00+00:00,2024-04-12T11:16:00+00:00
Ryanair,Bergamo - Orio al Serio,2024-04-12T06:30:00+00:00,2024-04-12T06:40:00+00:00,Bristol,2024-04-12T07:35:00+00:00,2024-04-12T07:29:00+00:00
Ryanair,Son Sant Joan Airport,2024-04-12T20:45:00+00:00,2024-04-12T21:35:00+00:00,Bristol,2024-04-12T22:15:00+00:00,2024-04-12T22:44:00+00:00
easyJet,Lisbon Portela,2024-04-12T19:30:00+00:00,2024-04-12T20:07:00+00:00,Bristol,2024-04-12T22:05:00+00:00,2024-04-12T22:12:00+00:00
easyJet,Euroairport Swiss,2024-04-12T21:40:00+00:00,2024-04-12T21:56:00+00:00,Bristol,2024-04-12T22:25:00+00:00,2024-04-12T22:24:00+00:00
easyJet,El Prat De Llobregat,2024-04-12T10:55:00+00:00,2024-04-12T11:49:00+00:00,Bristol,2024-04-12T12:15:00+00:00,2024-04-12T12:46:00+00:00
easyJet,Lisbon Portela,2024-04-12T10:05:00+00:00,2024-04-12T10:22:00+00:00,Bristol,2024-04-12T12:35:00+00:00,2024-04-12T12:26:00+00:00
easyJet,Kastrup,2024-04-12T14:00:00+00:00,2024-04-12T14:52:00+00:00,Bristol,2024-04-12T15:05:00+00:00,2024-04-12T15:50:00+00:00
easyJet,Cote D'azur International Airport,2024-04-12T10:40:00+00:00,2024-04-12T10:49:00+00:00,Bristol,2024-04-12T11:50:00+00:00,2024-04-12T11:41:00+00:00
Jet2,Son Sant Joan Airport,2024-04-12T10:15:00+00:00,2024-04-12T10:51:00+00:00,Bristol,2024-04-12T11:45:00+00:00,2024-04-12T12:06:00+00:00
easyJet,Pablo Ruiz Picasso,2024-04-12T10:25:00+00:00,2024-04-12T10:34:00+00:00,Bristol,2024-04-12T12:10:00+00:00,2024-04-12T12:03:00+00:00
easyJet,Glasgow International,2024-04-12T21:45:00+00:00,2024-04-12T21:57:00+00:00,Bristol,2024-04-12T22:55:00+00:00,2024-04-12T22:54:00+00:00
easyJet,Dalaman,2024-04-12T23:35:00+00:00,2024-04-12T23:54:00+00:00,Bristol,2024-04-13T02:00:00+00:00,2024-04-13T01:52:00+00:00
Ryanair UK,Menara,2024-04-12T09:10:00+00:00,,Bristol,2024-04-12T13:35:00+00:00,
easyJet,Fontanarossa,2024-04-12T10:45:00+00:00,2024-04-12T10:58:00+00:00,Bristol,2024-04-12T13:10:00+00:00,2024-04-12T13:05:00+00:00
easyJet,Son Sant Joan Airport,2024-04-12T14:00:00+00:00,2024-04-12T14:13:00+00:00,Bristol,2024-04-12T15:30:00+00:00,2024-04-12T15:25:00+00:00
Jet2,Dalaman,2024-04-12T20:30:00+00:00,2024-04-12T20:48:00+00:00,Bristol,2024-04-12T22:55:00+00:00,2024-04-12T22:51:00+00:00
easyJet,Pablo Ruiz Picasso,2024-04-12T13:25:00+00:00,2024-04-12T13:36:00+00:00,Bristol,2024-04-12T15:10:00+00:00,2024-04-12T15:05:00+00:00
Aer Lingus,Dublin International,2024-04-12T17:05:00+00:00,2024-04-12T18:06:00+00:00,Bristol,2024-04-12T18:25:00+00:00,2024-04-12T19:03:00+00:00
Ryanair,Francisco Sá Carneiro,2024-04-12T12:25:00+00:00,2024-04-12T12:32:00+00:00,Bristol,2024-04-12T14:30:00+00:00,2024-04-12T14:19:00+00:00
easyJet,Son Sant Joan Airport,2024-04-12T15:15:00+00:00,2024-04-12T15:35:00+00:00,Bristol,2024-04-12T16:45:00+00:00,2024-04-12T16:47:00+00:00
easyJet,Charles De Gaulle,2024-04-12T09:55:00+00:00,2024-04-12T10:24:00+00:00,Bristol,2024-04-12T10:15:00+00:00,2024-04-12T10:22:00+00:00
easyJet,Zine El Abidine Ben Ali International Airport,2024-04-12T10:50:00+00:00,2024-04-12T11:08:00+00:00,Bristol,2024-04-12T14:05:00+00:00,2024-04-12T14:05:00+00:00
SunExpress,Antalya,2024-04-12T15:00:00+00:00,2024-04-12T15:20:00+00:00,Bristol,2024-04-12T17:35:00+00:00,2024-04-12T17:35:00+00:00
easyJet,Son Sant Joan Airport,2024-04-12T10:00:00+00:00,2024-04-12T10:29:00+00:00,Bristol,2024-04-12T11:30:00+00:00,2024-04-12T11:44:00+00:00
easyJet,Edinburgh,2024-04-12T13:45:00+00:00,2024-04-12T13:55:00+00:00,Bristol,2024-04-12T15:00:00+00:00,2024-04-12T14:51:00+00:00
Blue Islands,Jersey,2024-04-12T17:40:00+00:00,2024-04-12T18:04:00+00:00,Bristol,2024-04-12T18:36:00+00:00,2024-04-12T18:55:00+00:00
Blue Islands,Jersey,2024-04-12T17:40:00+00:00,,Bristol,2024-04-12T18:40:00+00:00,
,Jersey,2024-04-12T17:40:00+00:00,,Bristol,2024-04-12T18:40:00+00:00,
Loganair,Jersey,2024-04-12T17:40:00+00:00,,Bristol,2024-04-12T18:40:00+00:00,
easyJet,Barajas,2024-04-12T22:15:00+00:00,2024-04-12T23:04:00+00:00,Bristol,2024-04-12T23:30:00+00:00,2024-04-12T23:49:00+00:00
Ryanair,El Prat De Llobregat,2024-04-12T14:35:00+00:00,2024-04-12T14:56:00+00:00,Bristol,2024-04-12T16:00:00+00:00,2024-04-12T15:53:00+00:00
easyJet,Prague Vaclav Havel Airport,2024-04-12T13:55:00+00:00,2024-04-12T14:58:00+00:00,Bristol,2024-04-12T15:00:00+00:00,
Delta Air Lines,Schiphol,2024-04-12T16:40:00+00:00,2024-04-12T17:38:00+00:00,Bristol,2024-04-12T16:55:00+00:00,2024-04-12T17:39:00+00:00
Ryanair,Kastrup,2024-04-12T14:50:00+00:00,2024-04-12T15:33:00+00:00,Bristol,2024-04-12T16:00:00+00:00,2024-04-12T16:17:00+00:00
easyJet,Sur Reina Sofia,2024-04-12T21:20:00+00:00,2024-04-12T21:24:00+00:00,Bristol,2024-04-13T01:15:00+00:00,2024-04-13T01:06:00+00:00
