flight_number,airline_name,flight_status,scheduled_departure,estimated_departure,actual_departure,departure_date,departure_time,departure_delay,flight_type
fr4755,ryanair,active,2023-10-07t08:50:00.000,2023-10-07t09:05:00.000,2023-10-07 09:16:00,2023-10-07,09:16:00,27,Regular departures
dl9423,delta air lines,active,2023-10-07t09:15:00.000,2023-10-07t09:23:00.000,2023-10-07 09:25:00,2023-10-07,09:25:00,10,Regular departures
ey5843,etihad airways,active,2023-10-07t09:15:00.000,2023-10-07t09:23:00.000,2023-10-07 09:25:00,2023-10-07,09:25:00,10,Regular departures
kq1050,kenya airways,active,2023-10-07t09:15:00.000,2023-10-07t09:23:00.000,2023-10-07 09:25:00,2023-10-07,09:25:00,10,Regular departures
vs7044,virgin atlantic,active,2023-10-07t09:15:00.000,2023-10-07t09:23:00.000,2023-10-07 09:25:00,2023-10-07,09:25:00,10,Regular departures
kl1050,klm,active,2023-10-07t09:15:00.000,2023-10-07t09:23:00.000,2023-10-07 09:25:00,2023-10-07,09:25:00,10,Regular departures
fr1361,ryanair,active,2023-10-07t09:30:00.000,2023-10-07t09:45:00.000,2023-10-07 09:58:00,2023-10-07,09:58:00,28,Regular departures
rr6221,ryanair sun,active,2023-10-07t09:30:00.000,2023-10-07t09:30:00.000,2023-10-07 09:52:00,2023-10-07,09:52:00,22,Regular departures
u27508,easyjet,active,2023-10-07t09:40:00.000,2023-10-07t10:28:00.000,2023-10-07 10:25:00,2023-10-07,10:25:00,45,Regular departures
u2245,easyjet,active,2023-10-07t09:50:00.000,2023-10-07t09:45:00.000,2023-10-07 10:00:00,2023-10-07,10:00:00,11,Regular departures
u22895,easyjet,active,2023-10-07t10:40:00.000,2023-10-07t10:40:00.000,2023-10-07 10:36:00,2023-10-07,10:36:00,0,Regular departures
u22717,easyjet,active,2023-10-07t12:20:00.000,2023-10-07t12:20:00.000,2023-10-07 12:28:00,2023-10-07,12:28:00,8,Regular departures
u2406,easyjet,active,2023-10-07t12:25:00.000,2023-10-07t12:26:00.000,2023-10-07 12:36:00,2023-10-07,12:36:00,12,Regular departures
x36676,tuifly,active,2023-10-07t12:35:00.000,2023-10-07t12:50:00.000,2023-10-07 12:52:00,2023-10-07,12:52:00,17,Regular departures
u2225,easyjet,active,2023-10-07t12:35:00.000,2023-10-07t12:48:00.000,2023-10-07 12:47:00,2023-10-07,12:47:00,12,Regular departures
u22871,easyjet,active,2023-10-07t12:40:00.000,2023-10-07t12:50:00.000,2023-10-07 12:54:00,2023-10-07,12:54:00,15,Regular departures
u22711,easyjet,active,2023-10-07t12:45:00.000,2023-10-07t12:45:00.000,2023-10-07 13:16:00,2023-10-07,13:16:00,32,Regular departures
u22911,easyjet,active,2023-10-07t12:50:00.000,2023-10-07t12:50:00.000,2023-10-07 13:07:00,2023-10-07,13:07:00,18,Regular departures
u22781,easyjet,active,2023-10-07t13:10:00.000,2023-10-07t13:10:00.000,2023-10-07 13:11:00,2023-10-07,13:11:00,2,Regular departures
u24980,easyjet,active,2023-10-07t13:10:00.000,2023-10-07t13:52:00.000,2023-10-07 13:54:00,2023-10-07,13:54:00,45,Regular departures
ls1809,jet2,active,2023-10-07t13:15:00.000,2023-10-07t13:30:00.000,2023-10-07 13:25:00,2023-10-07,13:25:00,10,Regular departures
u22807,easyjet,active,2023-10-07t13:20:00.000,2023-10-07t13:37:00.000,2023-10-07 13:46:00,2023-10-07,13:46:00,27,Regular departures
x3824,tuifly,active,2023-10-07t13:25:00.000,2023-10-07t13:40:00.000,2023-10-07 13:44:00,2023-10-07,13:44:00,20,Regular departures
u22913,easyjet,active,2023-10-07t13:30:00.000,2023-10-07t13:30:00.000,2023-10-07 13:49:00,2023-10-07,13:49:00,20,Regular departures
fr155,ryanair,active,2023-10-07t13:35:00.000,2023-10-07t13:35:00.000,2023-10-07 14:13:00,2023-10-07,14:13:00,39,Regular departures
ey7365,etihad airways,active,2023-10-07t13:45:00.000,2023-10-07t13:59:00.000,2023-10-07 13:56:00,2023-10-07,13:56:00,12,Regular departures
kq1052,kenya airways,active,2023-10-07t13:45:00.000,2023-10-07t13:59:00.000,2023-10-07 13:56:00,2023-10-07,13:56:00,12,Regular departures
vs7045,virgin atlantic,active,2023-10-07t13:45:00.000,2023-10-07t13:59:00.000,2023-10-07 13:56:00,2023-10-07,13:56:00,12,Regular departures
kl1052,klm,active,2023-10-07t13:45:00.000,2023-10-07t13:59:00.000,2023-10-07 13:56:00,2023-10-07,13:56:00,12,Regular departures
ls1891,jet2,active,2023-10-07t13:45:00.000,2023-10-07t13:53:00.000,2023-10-07 14:03:00,2023-10-07,14:03:00,19,Regular departures
ls1801,jet2,active,2023-10-07t14:00:00.000,2023-10-07t14:15:00.000,2023-10-07 14:33:00,2023-10-07,14:33:00,33,Regular departures
ls1817,jet2,active,2023-10-07t14:05:00.000,2023-10-07t14:27:00.000,2023-10-07 14:24:00,2023-10-07,14:24:00,20,Regular departures
ls1881,jet2,active,2023-10-07t14:05:00.000,2023-10-07t14:29:00.000,2023-10-07 14:35:00,2023-10-07,14:35:00,31,Regular departures
u22901,easyjet,active,2023-10-07t14:40:00.000,2023-10-07t14:53:00.000,2023-10-07 15:03:00,2023-10-07,15:03:00,23,Regular departures
x36664,tuifly,active,2023-10-07t15:00:00.000,2023-10-07t15:00:00.000,2023-10-07 15:13:00,2023-10-07,15:13:00,14,Regular departures
u27192,easyjet,active,2023-10-07t15:00:00.000,2023-10-07t15:37:00.000,2023-10-07 15:44:00,2023-10-07,15:44:00,45,Regular departures
fr1314,ryanair,active,2023-10-07t15:15:00.000,2023-10-07t15:15:00.000,2023-10-07 16:08:00,2023-10-07,16:08:00,54,Regular departures
fr1591,ryanair,active,2023-10-07t15:20:00.000,2023-10-07t15:35:00.000,2023-10-07 15:42:00,2023-10-07,15:42:00,23,Regular departures
u22801,easyjet,active,2023-10-07t15:20:00.000,2023-10-07t15:32:00.000,2023-10-07 15:47:00,2023-10-07,15:47:00,27,Regular departures
fr2798,ryanair,active,2023-10-07t15:35:00.000,2023-10-07t15:35:00.000,2023-10-07 15:53:00,2023-10-07,15:53:00,19,Regular departures
u22923,easyjet,active,2023-10-07t15:40:00.000,2023-10-07t15:40:00.000,2023-10-07 15:49:00,2023-10-07,15:49:00,9,Regular departures
u22735,easyjet,active,2023-10-07t15:55:00.000,2023-10-07t15:58:00.000,2023-10-07 16:05:00,2023-10-07,16:05:00,10,Regular departures
u27353,easyjet,active,2023-10-07t16:05:00.000,2023-10-07t16:10:00.000,2023-10-07 16:19:00,2023-10-07,16:19:00,14,Regular departures
x36654,tuifly,active,2023-10-07t16:10:00.000,2023-10-07t16:10:00.000,2023-10-07 16:28:00,2023-10-07,16:28:00,19,Regular departures
u22843,easyjet,active,2023-10-07t16:10:00.000,2023-10-07t16:10:00.000,2023-10-07 16:23:00,2023-10-07,16:23:00,14,Regular departures
u22851,easyjet,active,2023-10-07t16:20:00.000,2023-10-07t16:20:00.000,2023-10-07 16:53:00,2023-10-07,16:53:00,33,Regular departures
u26712,easyjet,active,2023-10-07t16:45:00.000,2023-10-07t16:50:00.000,2023-10-07 17:06:00,2023-10-07,17:06:00,22,Regular departures
u22809,easyjet,active,2023-10-07t16:50:00.000,2023-10-07t16:55:00.000,2023-10-07 17:04:00,2023-10-07,17:04:00,14,Regular departures
fr8254,ryanair,active,2023-10-07t17:30:00.000,2023-10-07t17:28:00.000,2023-10-07 17:39:00,2023-10-07,17:39:00,10,Regular departures
ey5802,etihad airways,active,2023-10-07t17:30:00.000,2023-10-07t18:00:00.000,2023-10-07 18:10:00,2023-10-07,18:10:00,41,Regular departures
kq1054,kenya airways,active,2023-10-07t17:30:00.000,2023-10-07t18:00:00.000,2023-10-07 18:10:00,2023-10-07,18:10:00,41,Regular departures
vs7046,virgin atlantic,active,2023-10-07t17:30:00.000,2023-10-07t18:00:00.000,2023-10-07 18:10:00,2023-10-07,18:10:00,41,Regular departures
kl1054,klm,active,2023-10-07t17:30:00.000,2023-10-07t18:00:00.000,2023-10-07 18:10:00,2023-10-07,18:10:00,41,Regular departures
u22729,easyjet,active,2023-10-07t17:30:00.000,2023-10-07t17:30:00.000,2023-10-07 17:41:00,2023-10-07,17:41:00,12,Regular departures
lh973,lufthansa,active,2023-10-07t17:45:00.000,2023-10-07t17:56:00.000,2023-10-07 17:57:00,2023-10-07,17:57:00,13,Regular departures
fr8296,ryanair,active,2023-10-07t18:05:00.000,2023-10-07t18:05:00.000,2023-10-07 18:12:00,2023-10-07,18:12:00,8,Regular departures
xc3336,corendon air,active,2023-10-07t18:15:00.000,2023-10-07t18:15:00.000,2023-10-07 18:31:00,2023-10-07,18:31:00,17,Regular departures
u22875,easyjet,active,2023-10-07t18:20:00.000,2023-10-07t18:20:00.000,2023-10-07 18:35:00,2023-10-07,18:35:00,16,Regular departures
u22873,easyjet,active,2023-10-07t18:55:00.000,2023-10-07t18:55:00.000,2023-10-07 18:51:00,2023-10-07,18:51:00,0,Regular departures
u22727,easyjet,active,2023-10-07t19:10:00.000,2023-10-07t19:10:00.000,2023-10-07 19:25:00,2023-10-07,19:25:00,16,Regular departures
fr3560,ryanair,active,2023-10-07t19:30:00.000,2023-10-07t19:45:00.000,2023-10-07 20:04:00,2023-10-07,20:04:00,35,Regular departures
u27004,easyjet,active,2023-10-07t19:45:00.000,2023-10-07t19:35:00.000,2023-10-07 19:46:00,2023-10-07,19:46:00,1,Regular departures
u22725,easyjet,active,2023-10-07t19:55:00.000,2023-10-07t19:55:00.000,2023-10-07 20:06:00,2023-10-07,20:06:00,12,Regular departures
u27268,easyjet,active,2023-10-07t19:55:00.000,2023-10-07t20:50:00.000,2023-10-07 20:30:00,2023-10-07,20:30:00,36,Regular departures
w61020,wizz air,active,2023-10-07t20:25:00.000,2023-10-07t21:06:00.000,2023-10-07 20:50:00,2023-10-07,20:50:00,26,Regular departures
fr509,ryanair,active,2023-10-07t20:35:00.000,2023-10-07t21:00:00.000,2023-10-07 21:08:00,2023-10-07,21:08:00,33,Regular departures
x3696,tuifly,active,2023-10-07t06:15:00.000,2023-10-07t06:30:00.000,2023-10-07 06:33:00,2023-10-07,06:33:00,19,Shoulder hour flights
si473,blue islands,active,2023-10-07t11:30:00.000,2023-10-07t11:45:00.000,2023-10-07 11:54:00,2023-10-07,11:54:00,25,Regular departures
