flight_number,airline_name,flight_status,scheduled_departure,estimated_departure,actual_departure,departure_date,departure_time,departure_delay,flight_type
fr2292,ryanair,active,2024-01-03t05:50:00.000,2024-01-03t05:50:00.000,2024-01-03 06:02:00,2024-01-03,06:02:00,12,Shoulder hour flights
fr8681,ryanair,active,2024-01-03t06:00:00.000,2024-01-03t06:00:00.000,2024-01-03 06:00:00,2024-01-03,06:00:00,0,Shoulder hour flights
u22713,easyjet,active,2024-01-03t06:20:00.000,2024-01-03t06:20:00.000,2024-01-03 06:21:00,2024-01-03,06:21:00,2,Shoulder hour flights
fr8224,ryanair,active,2024-01-03t06:25:00.000,2024-01-03t06:20:00.000,2024-01-03 06:33:00,2024-01-03,06:33:00,9,Shoulder hour flights
u22871,easyjet,active,2024-01-03t06:40:00.000,2024-01-03t06:40:00.000,2024-01-03 06:50:00,2024-01-03,06:50:00,11,Shoulder hour flights
u2201,easyjet,active,2024-01-03t07:00:00.000,2024-01-03t07:12:00.000,2024-01-03 07:13:00,2024-01-03,07:13:00,14,Regular departures
u2213,easyjet,active,2024-01-03t07:00:00.000,2024-01-03t07:00:00.000,2024-01-03 07:09:00,2024-01-03,07:09:00,9,Regular departures
u22721,easyjet,active,2024-01-03t07:00:00.000,2024-01-03t07:00:00.000,2024-01-03 07:06:00,2024-01-03,07:06:00,7,Regular departures
u22783,easyjet,active,2024-01-03t07:00:00.000,2024-01-03t07:00:00.000,2024-01-03 07:11:00,2024-01-03,07:11:00,11,Regular departures
u22883,easyjet,active,2024-01-03t07:00:00.000,2024-01-03t07:00:00.000,2024-01-03 07:04:00,2024-01-03,07:04:00,5,Regular departures
u22703,easyjet,active,2024-01-03t07:10:00.000,2024-01-03t07:10:00.000,2024-01-03 07:28:00,2024-01-03,07:28:00,18,Regular departures
u22709,easyjet,active,2024-01-03t07:10:00.000,2024-01-03t07:10:00.000,2024-01-03 07:18:00,2024-01-03,07:18:00,9,Regular departures
fr9870,ryanair,active,2024-01-03t07:20:00.000,2024-01-03t07:20:00.000,2024-01-03 07:16:00,2024-01-03,07:16:00,0,Regular departures
u22707,easyjet,active,2024-01-03t07:25:00.000,2024-01-03t07:25:00.000,2024-01-03 07:35:00,2024-01-03,07:35:00,10,Regular departures
u22921,easyjet,active,2024-01-03t07:45:00.000,2024-01-03t07:46:00.000,2024-01-03 07:54:00,2024-01-03,07:54:00,10,Regular departures
ba8937,british airways,active,2024-01-03t08:05:00.000,2024-01-03t08:15:00.000,2024-01-03 08:13:00,2024-01-03,08:13:00,8,Regular departures
ei3281,aer lingus,active,2024-01-03t08:05:00.000,2024-01-03t08:15:00.000,2024-01-03 08:13:00,2024-01-03,08:13:00,8,Regular departures
u2237,easyjet,active,2024-01-03t08:05:00.000,2024-01-03t08:05:00.000,2024-01-03 08:25:00,2024-01-03,08:25:00,21,Regular departures
u22719,easyjet,active,2024-01-03t08:05:00.000,2024-01-03t08:05:00.000,2024-01-03 08:04:00,2024-01-03,08:04:00,0,Regular departures
ls1891,jet2,active,2024-01-03t08:30:00.000,2024-01-03t08:36:00.000,2024-01-03 08:37:00,2024-01-03,08:37:00,7,Regular departures
u22773,easyjet,active,2024-01-03t08:30:00.000,2024-01-03t08:28:00.000,2024-01-03 08:39:00,2024-01-03,08:39:00,10,Regular departures
dl9423,delta air lines,active,2024-01-03t09:00:00.000,2024-01-03t09:09:00.000,2024-01-03 09:09:00,2024-01-03,09:09:00,10,Regular departures
ey5843,etihad airways,active,2024-01-03t09:00:00.000,2024-01-03t09:09:00.000,2024-01-03 09:09:00,2024-01-03,09:09:00,10,Regular departures
kq1050,kenya airways,active,2024-01-03t09:00:00.000,2024-01-03t09:09:00.000,2024-01-03 09:09:00,2024-01-03,09:09:00,10,Regular departures
vs7044,virgin atlantic,active,2024-01-03t09:00:00.000,2024-01-03t09:09:00.000,2024-01-03 09:09:00,2024-01-03,09:09:00,10,Regular departures
zq1050,german airways,active,2024-01-03t09:00:00.000,2024-01-03t09:09:00.000,2024-01-03 09:09:00,2024-01-03,09:09:00,10,Regular departures
u2231,easyjet,active,2024-01-03t16:10:00.000,2024-01-03t16:10:00.000,2024-01-03 16:00:00,2024-01-03,16:00:00,0,Regular departures
fr6221,ryanair,active,2024-01-03t09:05:00.000,2024-01-03t09:05:00.000,2024-01-03 09:04:00,2024-01-03,09:04:00,0,Regular departures
u2324,easyjet,active,2024-01-03t09:05:00.000,2024-01-03t09:05:00.000,2024-01-03 09:01:00,2024-01-03,09:01:00,0,Regular departures
fr505,ryanair,active,2024-01-03t09:20:00.000,2024-01-03t09:20:00.000,2024-01-03 09:30:00,2024-01-03,09:30:00,10,Regular departures
u22931,easyjet,active,2024-01-03t10:30:00.000,2024-01-03t10:43:00.000,2024-01-03 10:51:00,2024-01-03,10:51:00,22,Regular departures
u22885,easyjet,active,2024-01-03t10:35:00.000,2024-01-03t10:35:00.000,2024-01-03 10:44:00,2024-01-03,10:44:00,9,Regular departures
x3226,tuifly,active,2024-01-03t10:40:00.000,2024-01-03t10:40:00.000,2024-01-03 10:54:00,2024-01-03,10:54:00,15,Regular departures
tp7609,tap air portugal,active,2024-01-03t11:05:00.000,2024-01-03t11:39:00.000,2024-01-03 11:43:00,2024-01-03,11:43:00,38,Regular departures
lh971,lufthansa,active,2024-01-03t11:05:00.000,2024-01-03t11:39:00.000,2024-01-03 11:43:00,2024-01-03,11:43:00,38,Regular departures
u22867,easyjet,active,2024-01-03t11:15:00.000,2024-01-03t11:19:00.000,2024-01-03 11:41:00,2024-01-03,11:41:00,26,Regular departures
u2215,easyjet,active,2024-01-03t11:30:00.000,2024-01-03t12:02:00.000,2024-01-03 11:55:00,2024-01-03,11:55:00,26,Regular departures
u22901,easyjet,active,2024-01-03t11:30:00.000,2024-01-03t11:42:00.000,2024-01-03 11:50:00,2024-01-03,11:50:00,21,Regular departures
u2100,easyjet,active,2024-01-03t11:50:00.000,2024-01-03t12:02:00.000,2024-01-03 12:02:00,2024-01-03,12:02:00,13,Regular departures
u2219,easyjet,active,2024-01-03t14:40:00.000,2024-01-03t14:40:00.000,2024-01-03 14:46:00,2024-01-03,14:46:00,6,Regular departures
