flight_type,flight_number,flight_icao,airline_name,airline_iata,flight_status,flight_date,dep_airport,dep_iata,dep_icao,dep_terminal,dep_gate,dep_scheduled,dep_estimated,dep_actual,dep_delay,arr_airport,arr_iata,arr_icao,arr_terminal,arr_gate,arr_baggage,arr_scheduled,arr_estimated,arr_actual,arr_delay,aircraft_registration,aircraft_iata,is_codeshare,codeshare_airline,codeshare_flight
Departure,U27508,EZY7508,easyJet,U2,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T09:30:00+00:00,2025-07-24T09:30:00+00:00,,27,Faro,FAO,LPFR,,,,2025-07-24T12:05:00+00:00,,,,,,No,,
Departure,VS6948,VIR6948,Virgin Atlantic,VS,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T06:15:00+00:00,2025-07-24T06:15:00+00:00,,15,Schiphol,AMS,EHAM,,A08,,2025-07-24T08:35:00+00:00,,,,,,Yes,eastern airways,t31074
Departure,U22831,EZY2831,easyJet,U2,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T12:00:00+00:00,2025-07-24T12:00:00+00:00,,10,Marco Polo,VCE,LIPZ,,,,2025-07-24T15:15:00+00:00,,,,,,No,,
Departure,PC1197,PGT1197,Pegasus,PC,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T12:15:00+00:00,2025-07-24T12:15:00+00:00,,,Sabiha Gokcen,SAW,LTFJ,,,,2025-07-24T18:25:00+00:00,,,,,,No,,
Departure,U22775,EZY2775,easyJet,U2,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T12:15:00+00:00,2025-07-24T12:15:00+00:00,,9,Charles De Gaulle,CDG,LFPG,2B,,,2025-07-24T14:35:00+00:00,,,,,,No,,
Departure,U22895,EZY2895,easyJet,U2,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T12:25:00+00:00,2025-07-24T12:25:00+00:00,,10,Pula,PUY,LDPL,,,,2025-07-24T15:45:00+00:00,,,,,,No,,
Departure,U22801,EZY2801,easyJet,U2,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T12:50:00+00:00,2025-07-24T12:50:00+00:00,,,Diagoras,RHO,LGRP,,,,2025-07-24T19:00:00+00:00,,,,,,No,,
Departure,ATV643,ATV643,Avanti Air,ATV,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T12:55:00+00:00,2025-07-24T12:55:00+00:00,,15,Guernsey,GCI,EGJB,,,,2025-07-24T13:50:00+00:00,,,,,,No,,
Departure,,,empty,,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T13:00:00+00:00,2025-07-24T13:00:00+00:00,,15,Ensheim,SCN,EDDR,,,,2025-07-24T15:38:00+00:00,,,,,,No,,
Departure,U2205,EZY205,easyJet,U2,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T11:15:00+00:00,2025-07-24T11:15:00+00:00,,,Glasgow International,GLA,EGPF,M,,,2025-07-24T12:30:00+00:00,,,,,,No,,
