flight,categories,orig_icao,orig_iata,dest_icao,dest_iata,timestamp,flight_time,lat,lon,time_category
SI495,N/A,EGGD,BRS,EGJJ,JER,2022-12-23T23:59:57Z,Invalid Timestamp,50.84472,-2.61581,Unknown
FR4134,N/A,LHBP,BUD,EGGD,BRS,2022-12-23T23:59:59Z,Invalid Timestamp,51.38403,-2.72778,Unknown
SI495,N/A,EGGD,BRS,EGJJ,JER,2022-12-23T23:59:57Z,Invalid Timestamp,50.84472,-2.61581,Unknown
FR4134,N/A,LHBP,BUD,EGGD,BRS,2022-12-23T23:59:59Z,Invalid Timestamp,51.38403,-2.72778,Unknown
SI495,N/A,EGGD,BRS,EGJJ,JER,2022-12-23T23:59:57Z,Invalid Timestamp,50.84472,-2.61581,Unknown
FR4134,N/A,LHBP,BUD,EGGD,BRS,2022-12-23T23:59:59Z,Invalid Timestamp,51.38403,-2.72778,Unknown
SI495,N/A,EGGD,BRS,EGJJ,JER,2022-12-23T23:59:57Z,Invalid Timestamp,50.84472,-2.61581,Unknown
FR4134,N/A,LHBP,BUD,EGGD,BRS,2022-12-23T23:59:59Z,Invalid Timestamp,51.38403,-2.72778,Unknown
SI495,N/A,EGGD,BRS,EGJJ,JER,2022-12-23T23:59:57Z,Invalid Timestamp,50.84472,-2.61581,Unknown
FR4134,N/A,LHBP,BUD,EGGD,BRS,2022-12-23T23:59:59Z,Invalid Timestamp,51.38403,-2.72778,Unknown
SI495,N/A,EGGD,BRS,EGJJ,JER,2022-12-23T23:59:57Z,Invalid Timestamp,50.84472,-2.61581,Unknown
FR4134,N/A,LHBP,BUD,EGGD,BRS,2022-12-23T23:59:59Z,Invalid Timestamp,51.38403,-2.72778,Unknown
SI495,N/A,EGGD,BRS,EGJJ,JER,2022-12-23T23:59:57Z,Invalid Timestamp,50.84472,-2.61581,Unknown
FR4134,N/A,LHBP,BUD,EGGD,BRS,2022-12-23T23:59:59Z,Invalid Timestamp,51.38403,-2.72778,Unknown
SI495,N/A,EGGD,BRS,EGJJ,JER,2022-12-23T23:59:57Z,Invalid Timestamp,50.84472,-2.61581,Unknown
FR4134,N/A,LHBP,BUD,EGGD,BRS,2022-12-23T23:59:59Z,Invalid Timestamp,51.38403,-2.72778,Unknown
SI495,N/A,EGGD,BRS,EGJJ,JER,2022-12-23T23:59:57Z,Invalid Timestamp,50.84472,-2.61581,Unknown
FR4134,N/A,LHBP,BUD,EGGD,BRS,2022-12-23T23:59:59Z,Invalid Timestamp,51.38403,-2.72778,Unknown
SI495,N/A,EGGD,BRS,EGJJ,JER,2022-12-23T23:59:57Z,Invalid Timestamp,50.84472,-2.61581,Unknown
FR4134,N/A,LHBP,BUD,EGGD,BRS,2022-12-23T23:59:59Z,Invalid Timestamp,51.38403,-2.72778,Unknown
