Airline,Departure Airport,Scheduled Departure,Actual Departure,Arrival Airport,Scheduled Arrival,Actual Arrival
Ryanair,Kaunas,2024-04-17T06:05:00+00:00,,Bristol,2024-04-17T07:00:00+00:00,
Ryanair,Bergamo - Orio al Serio,2024-04-17T06:05:00+00:00,2024-04-17T06:11:00+00:00,Bristol,2024-04-17T07:10:00+00:00,2024-04-17T07:04:00+00:00
Ryanair,John Paul II Balice International,2024-04-17T06:05:00+00:00,2024-04-17T06:07:00+00:00,Bristol,2024-04-17T07:40:00+00:00,2024-04-17T07:23:00+00:00
Alitalia,Schiphol,2024-04-17T12:55:00+00:00,2024-04-17T13:57:00+00:00,Bristol,2024-04-17T13:10:00+00:00,
Delta Air Lines,Schiphol,2024-04-17T12:55:00+00:00,2024-04-17T13:57:00+00:00,Bristol,2024-04-17T13:10:00+00:00,
Kenya Airways,Schiphol,2024-04-17T12:55:00+00:00,2024-04-17T13:57:00+00:00,Bristol,2024-04-17T13:10:00+00:00,
Virgin Atlantic,Schiphol,2024-04-17T12:55:00+00:00,2024-04-17T13:57:00+00:00,Bristol,2024-04-17T13:10:00+00:00,
easyJet,Zine El Abidine Ben Ali International Airport,2024-04-17T10:00:00+00:00,2024-04-17T10:07:00+00:00,Bristol,2024-04-17T13:15:00+00:00,2024-04-17T13:10:00+00:00
easyJet,Son Sant Joan Airport,2024-04-17T10:00:00+00:00,2024-04-17T10:01:00+00:00,Bristol,2024-04-17T11:30:00+00:00,2024-04-17T11:25:00+00:00
easyJet,"Athens International Airport ""Eleftherios Venizelos""",2024-04-17T23:55:00+00:00,2024-04-18T00:42:00+00:00,Bristol,2024-04-18T01:50:00+00:00,2024-04-18T02:15:00+00:00
easyJet,Pablo Ruiz Picasso,2024-04-17T10:25:00+00:00,2024-04-17T10:44:00+00:00,Bristol,2024-04-17T12:10:00+00:00,2024-04-17T12:15:00+00:00
Ryanair,Dublin International,2024-04-17T11:45:00+00:00,2024-04-17T11:54:00+00:00,Bristol,2024-04-17T12:50:00+00:00,2024-04-17T12:34:00+00:00
easyJet,Dubrovnik,2024-04-17T10:45:00+00:00,2024-04-17T10:44:00+00:00,Bristol,2024-04-17T12:45:00+00:00,2024-04-17T12:29:00+00:00
Ryanair,Dublin International,2024-04-17T21:10:00+00:00,2024-04-17T21:24:00+00:00,Bristol,2024-04-17T22:15:00+00:00,2024-04-17T22:03:00+00:00
easyJet,Son Sant Joan Airport,2024-04-17T14:10:00+00:00,2024-04-17T14:21:00+00:00,Bristol,2024-04-17T15:40:00+00:00,2024-04-17T15:44:00+00:00
British Airways,Cork,2024-04-17T18:30:00+00:00,2024-04-17T18:28:00+00:00,Bristol,2024-04-17T19:50:00+00:00,2024-04-17T19:32:00+00:00
Aer Lingus,Cork,2024-04-17T18:30:00+00:00,2024-04-17T18:28:00+00:00,Bristol,2024-04-17T19:50:00+00:00,2024-04-17T19:32:00+00:00
easyJet,Fuerteventura,2024-04-17T11:25:00+00:00,2024-04-17T11:25:00+00:00,Bristol,2024-04-17T15:25:00+00:00,2024-04-17T15:10:00+00:00
easyJet,Cote D'azur International Airport,2024-04-17T14:20:00+00:00,2024-04-17T14:50:00+00:00,Bristol,2024-04-17T15:30:00+00:00,2024-04-17T15:47:00+00:00
Delta Air Lines,Schiphol,2024-04-17T08:35:00+00:00,2024-04-17T09:02:00+00:00,Bristol,2024-04-17T08:50:00+00:00,2024-04-17T08:55:00+00:00
Virgin Atlantic,Schiphol,2024-04-17T08:35:00+00:00,2024-04-17T09:02:00+00:00,Bristol,2024-04-17T08:50:00+00:00,2024-04-17T08:55:00+00:00
Ryanair,El Prat De Llobregat,2024-04-17T16:40:00+00:00,2024-04-17T17:06:00+00:00,Bristol,2024-04-17T18:05:00+00:00,2024-04-17T18:15:00+00:00
Ryanair Sun,Kaunas,2024-04-17T06:05:00+00:00,2024-04-17T06:10:00+00:00,Bristol,2024-04-17T07:00:00+00:00,2024-04-17T06:43:00+00:00
Loganair,Dyce,2024-04-17T17:55:00+00:00,2024-04-17T18:02:00+00:00,Bristol,2024-04-17T19:25:00+00:00,2024-04-17T19:04:00+00:00
Sierra Pacific Airlines,Dyce,2024-04-17T17:55:00+00:00,2024-04-17T18:02:00+00:00,Bristol,2024-04-17T19:25:00+00:00,2024-04-17T19:04:00+00:00
British Airways,Dyce,2024-04-17T17:55:00+00:00,2024-04-17T18:02:00+00:00,Bristol,2024-04-17T19:25:00+00:00,2024-04-17T19:04:00+00:00
easyJet,Aldergrove International Airport,2024-04-17T17:30:00+00:00,2024-04-17T17:51:00+00:00,Bristol,2024-04-17T18:35:00+00:00,2024-04-17T18:37:00+00:00
easyJet,Geneve-cointrin,2024-04-17T17:10:00+00:00,2024-04-17T17:13:00+00:00,Bristol,2024-04-17T17:55:00+00:00,2024-04-17T17:39:00+00:00
Jet2,Fuerteventura,2024-04-17T15:10:00+00:00,2024-04-17T15:30:00+00:00,Bristol,2024-04-17T19:10:00+00:00,2024-04-17T19:14:00+00:00
TUIfly,Fuerteventura,2024-04-17T15:35:00+00:00,2024-04-17T15:44:00+00:00,Bristol,2024-04-17T19:30:00+00:00,2024-04-17T19:27:00+00:00
Aer Lingus,Dublin International,2024-04-17T14:30:00+00:00,2024-04-17T14:52:00+00:00,Bristol,2024-04-17T15:50:00+00:00,2024-04-17T15:49:00+00:00
Qatar Airways,Dublin International,2024-04-17T14:30:00+00:00,2024-04-17T14:52:00+00:00,Bristol,2024-04-17T15:50:00+00:00,2024-04-17T15:49:00+00:00
British Airways,Dublin International,2024-04-17T14:30:00+00:00,2024-04-17T14:52:00+00:00,Bristol,2024-04-17T15:50:00+00:00,2024-04-17T15:49:00+00:00
easyJet,Leonardo Da Vinci (Fiumicino),2024-04-17T17:20:00+00:00,2024-04-17T17:34:00+00:00,Bristol,2024-04-17T19:05:00+00:00,2024-04-17T18:59:00+00:00
Sierra Pacific Airlines,Jersey,2024-04-17T16:30:00+00:00,,Bristol,2024-04-17T17:30:00+00:00,
easyJet,Faro,2024-04-17T16:50:00+00:00,2024-04-17T16:59:00+00:00,Bristol,2024-04-17T19:30:00+00:00,2024-04-17T19:29:00+00:00
easyJet,Berlin Brandenburg Airport,2024-04-17T17:10:00+00:00,2024-04-17T17:14:00+00:00,Bristol,2024-04-17T18:10:00+00:00,2024-04-17T17:52:00+00:00
Ryanair,Henri Coanda International,2024-04-17T21:30:00+00:00,2024-04-17T21:58:00+00:00,Bristol,2024-04-17T23:05:00+00:00,2024-04-17T22:57:00+00:00
Ryanair,Jasionka,2024-04-17T15:20:00+00:00,2024-04-17T15:22:00+00:00,Bristol,2024-04-17T17:10:00+00:00,2024-04-17T16:48:00+00:00
Aer Lingus,Dublin International,2024-04-17T17:05:00+00:00,2024-04-17T17:08:00+00:00,Bristol,2024-04-17T18:25:00+00:00,2024-04-17T18:02:00+00:00
Qatar Airways,Dublin International,2024-04-17T17:05:00+00:00,2024-04-17T17:08:00+00:00,Bristol,2024-04-17T18:25:00+00:00,2024-04-17T18:02:00+00:00
British Airways,Dublin International,2024-04-17T17:05:00+00:00,2024-04-17T17:08:00+00:00,Bristol,2024-04-17T18:25:00+00:00,2024-04-17T18:02:00+00:00
Loganair,Jersey,2024-04-17T16:30:00+00:00,,Bristol,2024-04-17T17:30:00+00:00,
,Jersey,2024-04-17T16:30:00+00:00,,Bristol,2024-04-17T17:30:00+00:00,
Blue Islands,Jersey,2024-04-17T16:30:00+00:00,,Bristol,2024-04-17T17:30:00+00:00,
