type,status,departure.iataCode,departure.icaoCode,departure.actualTime,arrival.iataCode,arrival.icaoCode,arrival.actualTime
arrival,landed,ath,lgav,2023-12-29t09:28:00.000,brs,eggd,2023-12-29t11:12:00.000
arrival,landed,ams,eham,2023-12-29t11:16:00.000,brs,eggd,2023-12-29t11:20:00.000
arrival,landed,fab,eglf,2023-12-29t10:19:00.000,brs,eggd,2023-12-29t10:46:00.000
arrival,landed,ory,lfpo,2023-12-29t11:17:00.000,brs,eggd,2023-12-29t11:16:00.000
arrival,landed,gva,lsgg,2023-12-29t10:51:00.000,brs,eggd,2023-12-29t11:24:00.000
arrival,landed,fao,lpfr,2023-12-29t09:36:00.000,brs,eggd,2023-12-29t11:55:00.000
arrival,landed,gla,egpf,2023-12-29t10:32:00.000,brs,eggd,2023-12-29t11:28:00.000
arrival,landed,inn,lowi,2023-12-29t10:58:00.000,brs,eggd,2023-12-29t12:00:00.000
arrival,landed,cph,ekch,2023-12-29t11:05:00.000,brs,eggd,2023-12-29t12:05:00.000
arrival,landed,bcn,lebl,2023-12-29t11:36:00.000,brs,eggd,2023-12-29t12:32:00.000
arrival,landed,agp,lemg,2023-12-29t10:50:00.000,brs,eggd,2023-12-29t12:09:00.000
arrival,landed,krk,epkk,2023-12-29t10:38:00.000,brs,eggd,2023-12-29t12:28:00.000
arrival,landed,alc,leal,2023-12-29t11:50:00.000,brs,eggd,2023-12-29t13:07:00.000
arrival,landed,alc,leal,2023-12-29t11:59:00.000,brs,eggd,2023-12-29t13:13:00.000
arrival,landed,ams,eham,2023-12-29t13:29:00.000,brs,eggd,2023-12-29t13:34:00.000
arrival,landed,lis,lppt,2023-12-29t11:21:00.000,brs,eggd,2023-12-29t13:23:00.000
arrival,landed,otp,lrop,2023-12-29t12:00:00.000,brs,eggd,2023-12-29t13:26:00.000
arrival,landed,alc,leal,2023-12-29t12:18:00.000,brs,eggd,2023-12-29t13:36:00.000
arrival,landed,fao,lpfr,2023-12-29t11:09:00.000,brs,eggd,2023-12-29t13:29:00.000
arrival,landed,inv,egpe,2023-12-29t13:20:00.000,brs,eggd,2023-12-29t14:29:00.000
